,airline,number_of_changes,origin_city_code,destination_country_code,search_month,search_weekday,depart_month,depart_weekday,diff_days,distance,price
782,Turkish Airlines,0,MOW,TR,4,5,5,3,40,2215.01,17328
786,Aeroflot,0,MOW,RU,4,5,5,0,44,982.85,5086
789,S7 Airlines,1,MOW,RU,4,5,5,4,41,6646.73,13512
792,Pegasus Airlines,2,MOW,ES,4,5,5,4,34,3178.51,25910
795,Turkish Airlines,3,MOW,DE,4,5,5,0,51,1878.88,19972
796,Aeroflot,0,MOW,RU,4,5,5,3,47,1474.31,5506
803,Wizz Air,3,MOW,IT,4,5,5,0,30,2383.39,24152
804,Azimut,1,MOW,RU,4,5,5,2,53,2305.01,6930
805,Azimut,0,MOW,RU,4,5,5,4,41,926.25,2650
806,Pegasus Airlines,2,MOW,ES,4,5,5,4,48,3023.07,16559
810,Turkish Airlines,1,MOW,TR,4,5,5,5,42,2071.69,20330
813,Pobeda,0,MOW,RU,4,5,5,0,51,730.24,3549
814,Aeroflot,0,MOW,RU,4,5,5,4,41,2138.86,6102
818,Pegasus Airlines,1,MOW,DE,4,5,5,2,53,2080.67,15192
819,Pegasus Airlines,2,MOW,ES,4,5,5,2,32,3702.75,28439
820,S7 Airlines,0,MOW,RU,4,5,5,6,43,5010.31,14548
827,Pegasus Airlines,2,MOW,DE,4,5,5,2,39,1653.57,23030
834,Turkish Airlines,2,MOW,US,4,5,5,0,44,9288.94,43571
839,S7 Airlines,0,MOW,RU,4,5,5,3,47,2919.21,9501
841,Turkish Airlines,2,MOW,TR,4,5,5,4,48,1828.92,25075
845,Pegasus Airlines,2,MOW,ES,4,5,5,3,40,3123.35,18633
846,Azimut,1,MOW,RU,4,5,5,2,46,1372.69,5426
851,Wizz Air,3,MOW,IT,4,5,5,0,30,2280.66,31254
853,Pegasus Airlines,3,MOW,ES,4,5,5,3,47,5189.41,22299
856,Pegasus Airlines,2,MOW,IT,4,5,5,2,46,2347.45,21775
859,S7 Airlines,2,MOW,RU,4,5,5,4,41,4728.02,17345
863,Pobeda,0,MOW,RU,4,5,5,1,59,1141.58,4449
864,Uzbekistan Airways,2,MOW,IN,4,5,5,2,39,5481.35,37785
867,Pobeda,0,MOW,RU,4,5,5,4,34,1727.77,5749
868,Uzbekistan Airways,2,MOW,IN,4,5,5,0,58,5436.87,36080
869,Uzbekistan Airways,0,MOW,UZ,4,5,5,1,59,3009.67,7382
870,Pegasus Airlines,2,MOW,ES,4,5,5,1,38,3811.97,23439
873,Uzbekistan Airways,0,MOW,UZ,4,5,5,5,56,3012.66,8989
874,Pegasus Airlines,2,MOW,IT,4,5,5,5,35,2713.78,23930
875,Pegasus Airlines,2,MOW,IT,4,5,5,4,48,2366.55,17565
878,Aeroflot,0,MOW,RU,4,5,5,2,39,1238.84,4380
884,Turkish Airlines,3,MOW,IT,4,5,5,0,51,2008.27,26749
889,S7 Airlines,0,MOW,RU,4,5,5,0,51,3125.01,11631
890,Pegasus Airlines,1,MOW,GR,4,5,5,3,47,2225.12,12352
891,Pegasus Airlines,3,MOW,ES,4,5,5,3,47,3420.17,21770
895,Pegasus Airlines,1,MOW,TR,4,5,5,1,59,1930.07,20615
896,Nordwind Airlines,0,MOW,RU,4,5,5,2,53,1245.22,4675
899,Azimut,0,MOW,RU,4,5,5,1,45,1137.51,3080
903,Uzbekistan Airways,2,MOW,IN,4,5,5,5,35,5527.75,37990
904,Uzbekistan Airways,1,MOW,UZ,4,5,5,2,53,2792.29,9364
905,Uzbekistan Airways,2,MOW,IN,4,5,5,2,39,6080.87,39248
906,S7 Airlines,0,MOW,RU,4,5,5,6,29,365.9,2801
907,Azimut,2,MOW,TR,4,5,5,5,56,2154.06,17305
909,Aeroflot,0,MOW,RU,4,5,5,0,44,1193.19,6633
912,Azimut,1,MOW,RU,4,5,5,4,41,893.09,3830
916,Pegasus Airlines,1,MOW,DE,4,5,5,6,57,1908.87,14752
920,Pobeda,0,MOW,RU,4,5,5,0,37,771.09,3549
921,Pegasus Airlines,2,MOW,IT,4,5,5,2,32,2293.35,23632
925,Nordwind Airlines,0,MOW,RU,4,5,5,6,57,6144.5,10406
926,Turkish Airlines,2,MOW,TR,4,5,5,5,56,2021.43,23513
930,Azimut,1,MOW,RU,4,5,5,4,48,2345.3,7625
932,S7 Airlines,1,MOW,RU,4,5,5,0,51,6781.36,13854
933,Uzbekistan Airways,0,MOW,UZ,4,5,5,5,56,3017.68,7509
936,S7 Airlines,2,MOW,RU,4,5,5,1,31,4784.62,40630
938,Pegasus Airlines,1,MOW,TR,4,5,6,4,62,1608.63,19909
939,S7 Airlines,1,MOW,RU,4,5,6,1,80,3379.79,11288
941,Pegasus Airlines,1,MOW,TR,4,5,6,1,80,2086.37,20866
949,Nordwind Airlines,0,MOW,RU,4,5,6,3,75,1270.49,4263
956,Aeroflot,1,MOW,RU,4,5,6,2,60,7042.45,20435
959,S7 Airlines,1,MOW,RU,4,5,6,1,80,1906.42,9170
967,S7 Airlines,0,MOW,RU,4,5,6,4,69,2245.55,9099
968,S7 Airlines,2,MOW,RU,4,5,6,2,88,5563.57,41001
970,Turkish Airlines,2,MOW,US,4,5,6,2,60,8196.79,48119
977,Turkish Airlines,2,MOW,ES,4,5,6,2,88,3010.09,35181
979,Uzbekistan Airways,1,MOW,IN,4,5,6,1,87,4338.6,23735
982,Wizz Air,2,MOW,DE,4,5,6,2,60,2135.42,24647
984,Nordwind Airlines,0,MOW,RU,4,5,6,5,77,1496.68,4899
987,S7 Airlines,0,MOW,RU,4,5,6,1,73,345.27,915
989,Azimut,2,MOW,TR,4,5,6,1,73,1643.31,16285
994,Aeroflot,0,MOW,RU,4,5,6,2,60,253.0,2250
998,Azimut,2,MOW,TR,4,5,6,5,63,2195.74,15344
1003,Azimut,1,MOW,RU,4,5,6,5,84,3324.82,7364
1007,Pegasus Airlines,1,MOW,TR,4,5,6,3,89,2089.38,16566
1010,Azimut,1,MOW,RU,4,5,6,5,70,1334.24,3676
1013,S7 Airlines,0,MOW,RU,4,5,6,5,84,386.51,4749
1014,Nordwind Airlines,1,MOW,RU,4,5,6,1,73,808.34,8730
1015,S7 Airlines,0,MOW,RU,4,5,6,6,85,2161.81,8983
1018,Nordwind Airlines,1,MOW,DE,4,5,6,6,71,2072.57,9770
1020,Azimut,1,MOW,RU,4,5,6,0,86,152.1,4829
1022,Wizz Air,1,MOW,DE,4,5,6,0,79,2018.9,22292
1025,Turkish Airlines,2,MOW,KZ,4,5,6,0,65,2590.71,35405
1034,Uzbekistan Airways,0,MOW,UZ,4,5,6,2,88,2951.46,5384
1040,S7 Airlines,0,MOW,RU,4,5,6,4,83,1939.79,10171
1042,Uzbekistan Airways,2,MOW,IN,4,5,6,0,72,5022.12,32769
1046,Aeroflot,0,MOW,RU,4,5,6,1,80,1004.37,5743
1047,Nordwind Airlines,0,MOW,RU,4,5,6,2,81,1201.71,5479
1048,Wizz Air,3,MOW,IT,4,5,6,0,72,2622.72,24006
1050,Nordwind Airlines,1,MOW,DE,4,5,6,6,64,2033.29,6347
1051,Wizz Air,2,MOW,IT,4,5,6,2,60,2668.41,19506
1054,Turkish Airlines,2,MOW,US,4,5,6,2,60,9132.38,52394
1057,S7 Airlines,1,MOW,RU,4,5,6,6,64,245.68,8302
1061,Turkish Airlines,1,MOW,TR,4,5,6,3,75,2079.39,22120
1064,Uzbekistan Airways,0,MOW,UZ,4,5,6,2,88,2654.56,5384
1065,Azimut,1,MOW,RU,4,5,6,5,63,1191.19,3255
1067,Turkish Airlines,3,MOW,IT,4,5,6,2,74,2448.15,16567
1068,Pegasus Airlines,1,MOW,TR,4,5,6,2,81,1988.86,20071
