,airline,number_of_changes,origin_city_code,destination_country_code,search_weekday,depart_weekday,diff_days,distance,price,number_of_changes_category,airline_category,destination_category
6680,Aeroflot,2,MOW,US,2,5,213,7003.97,31500,2,Aeroflot,culture
6681,S7 Airlines,0,MOW,UZ,2,0,208,2791.24,5655,0,S7 Airlines,cis
6682,Nordwind Airlines,1,MOW,RU,2,4,226,5599.18,10502,1,Nordwind Airlines,domestic
6683,Pobeda,1,MOW,RU,2,6,214,840.05,4228,1,Pobeda,domestic
6684,Pobeda,0,MOW,RU,2,3,232,2878.27,4799,0,Pobeda,domestic
6685,Azimut,2,MOW,TR,2,1,223,1911.0,12012,2,Azimut,tourism
6686,Wizz Air,1,MOW,IT,2,6,214,2232.05,4892,1,Other,culture
6687,KLM,1,MOW,DE,2,0,222,1846.08,8794,1,Other,culture
6688,Wizz Air,2,MOW,GR,2,6,207,2466.46,10323,2,Other,tourism
6689,Nordwind Airlines,0,MOW,RU,2,5,227,6410.71,11771,0,Nordwind Airlines,domestic
6690,Aeroflot,0,MOW,US,2,5,206,9793.74,22066,0,Aeroflot,culture
6691,Nordwind Airlines,0,MOW,RU,2,6,221,1466.42,2224,0,Nordwind Airlines,domestic
6692,Aeroflot,1,MOW,US,2,3,218,9470.39,26379,1,Aeroflot,culture
6693,Aeroflot,1,MOW,US,2,6,214,8396.91,30076,1,Aeroflot,culture
6694,Aeroflot,0,MOW,KZ,2,6,207,2466.69,19159,0,Aeroflot,cis
6695,Aeroflot,1,MOW,US,2,3,204,9530.8,31070,1,Aeroflot,culture
6696,Pobeda,0,MOW,RU,2,3,218,692.14,2949,0,Pobeda,domestic
6697,Aeroflot,1,MOW,US,2,4,205,7224.28,24057,1,Aeroflot,culture
6698,Wizz Air,2,MOW,GR,2,5,213,2215.54,7511,2,Other,tourism
6699,S7 Airlines,0,MOW,RU,2,6,207,1476.84,2460,0,S7 Airlines,domestic
6700,S7 Airlines,0,MOW,UZ,2,2,217,2647.82,5830,0,S7 Airlines,cis
6701,Aeroflot,2,MOW,IT,2,6,228,2195.46,11041,2,Aeroflot,culture
6702,Pobeda,0,MOW,RU,2,4,219,4208.67,5584,0,Pobeda,domestic
6703,Azimut,1,MOW,TR,2,5,220,1759.79,6181,1,Azimut,tourism
6704,Wizz Air,2,MOW,ES,2,4,212,3787.36,7498,2,Other,tourism
6705,Uzbekistan Airways,0,MOW,UZ,2,0,208,2800.39,6763,0,Uzbekistan Airways,cis
6706,Pobeda,0,MOW,RU,2,0,222,2233.37,3699,0,Pobeda,domestic
6707,Pobeda,0,MOW,RU,2,5,227,1420.68,2949,0,Pobeda,domestic
6708,Pobeda,0,MOW,RU,2,1,209,600.92,3149,0,Pobeda,domestic
6709,Pobeda,0,MOW,RU,2,4,205,1429.66,3599,0,Pobeda,domestic
6710,Nordwind Airlines,0,MOW,DE,2,5,220,1611.43,6387,0,Nordwind Airlines,culture
6711,Aeroflot,2,MOW,US,2,5,206,9763.68,30822,2,Aeroflot,culture
6712,Wizz Air,2,MOW,GR,2,1,216,2265.01,7152,2,Other,tourism
6713,Wizz Air,2,MOW,GR,2,4,219,2231.25,8223,2,Other,tourism
6714,S7 Airlines,1,MOW,RU,2,4,226,2850.63,15713,1,S7 Airlines,domestic
6715,S7 Airlines,0,MOW,RU,2,5,227,1397.49,8401,0,S7 Airlines,domestic
6716,Wizz Air,2,MOW,IT,2,5,213,2219.51,9732,2,Other,culture
6717,Azimut,0,MOW,RU,2,2,231,616.0,1580,0,Azimut,domestic
6718,Wizz Air,2,MOW,ES,2,1,223,3139.09,14941,2,Other,tourism
6719,Aeroflot,1,MOW,US,2,2,217,9019.63,26023,1,Aeroflot,culture
6720,Wizz Air,2,MOW,KZ,2,2,217,2310.96,9896,2,Other,cis
6721,S7 Airlines,0,MOW,RU,2,3,218,444.87,3554,0,S7 Airlines,domestic
6722,S7 Airlines,0,MOW,UZ,2,1,223,2286.26,5830,0,S7 Airlines,cis
6723,Pegasus Airlines,1,MOW,TR,2,0,208,2185.48,10082,1,Pegasus Airlines,tourism
6724,Turkish Airlines,1,MOW,US,2,3,225,9231.98,22788,1,Turkish Airlines,culture
6725,Wizz Air,2,MOW,GR,2,2,217,2335.85,13760,2,Other,tourism
6726,Nordwind Airlines,1,MOW,DE,2,1,209,2083.32,7565,1,Nordwind Airlines,culture
6727,S7 Airlines,1,MOW,TR,2,3,211,1964.06,11131,1,S7 Airlines,tourism
6728,Pobeda,0,MOW,RU,2,5,227,906.06,2549,0,Pobeda,domestic
6729,Pobeda,0,MOW,TR,2,1,230,2215.01,8874,0,Pobeda,tourism
6730,Pobeda,0,MOW,RU,2,5,213,1162.99,2049,0,Pobeda,domestic
6731,Aeroflot,0,MOW,RU,2,5,206,982.85,5011,0,Aeroflot,domestic
6732,Aeroflot,1,MOW,IT,2,6,207,2267.53,11646,1,Aeroflot,culture
6733,Aeroflot,2,MOW,US,2,3,204,8359.73,29008,2,Aeroflot,culture
6734,Wizz Air,1,MOW,ES,2,1,223,3178.51,9227,1,Other,tourism
6735,Wizz Air,1,MOW,DE,2,5,227,1878.88,8455,1,Other,culture
6736,Aeroflot,1,MOW,US,2,4,219,8158.03,31654,1,Aeroflot,culture
6737,Aeroflot,1,MOW,US,2,1,209,9490.19,27513,1,Aeroflot,culture
6738,Wizz Air,3,MOW,IT,2,0,229,2383.39,8197,3+,Other,culture
6739,Azimut,0,MOW,RU,2,6,221,926.25,3150,0,Azimut,domestic
6740,Pegasus Airlines,1,MOW,TR,2,6,207,1956.25,9555,1,Pegasus Airlines,tourism
6741,Pobeda,0,MOW,RU,2,4,205,730.24,2849,0,Pobeda,domestic
6742,Pobeda,0,MOW,RU,2,6,228,2138.86,3130,0,Pobeda,domestic
6743,S7 Airlines,0,MOW,RU,2,4,212,556.74,4412,0,S7 Airlines,domestic
6744,S7 Airlines,1,MOW,RU,2,6,207,6202.94,22990,1,S7 Airlines,domestic
6745,Aeroflot,2,MOW,US,2,4,212,8345.87,36802,2,Aeroflot,culture
6746,Wizz Air,2,MOW,IT,2,5,213,2206.07,10076,2,Other,culture
6747,Pobeda,0,MOW,RU,2,6,207,2919.21,4799,0,Pobeda,domestic
6748,Wizz Air,2,MOW,ES,2,1,209,3123.35,6379,2,Other,tourism
6749,Pobeda,0,MOW,RU,2,4,219,1372.69,3199,0,Pobeda,domestic
6750,S7 Airlines,1,MOW,RU,2,2,217,4728.02,15433,1,S7 Airlines,domestic
6751,Pobeda,0,MOW,RU,2,3,218,1141.58,3299,0,Pobeda,domestic
6752,Pobeda,0,MOW,RU,2,0,208,1727.77,3328,0,Pobeda,domestic
6753,Uzbekistan Airways,0,MOW,UZ,2,3,204,3009.67,6768,0,Uzbekistan Airways,cis
6754,Uzbekistan Airways,0,MOW,UZ,2,5,213,3012.66,7047,0,Uzbekistan Airways,cis
6755,Wizz Air,1,MOW,IN,2,4,226,5728.55,17916,1,Other,tourism
6756,Wizz Air,2,MOW,IT,2,4,233,2366.55,6380,2,Other,culture
6757,Aeroflot,2,MOW,US,2,6,214,11327.89,34208,2,Aeroflot,culture
6758,Pobeda,0,MOW,RU,2,5,220,1238.84,3599,0,Pobeda,domestic
6759,Aeroflot,1,MOW,US,2,3,204,8603.56,30436,1,Aeroflot,culture
